S_SERIALNUM,tf_TYPE,tf_NAME,tf_pnumber,tf_LOCATION,tf_PHOTO
T95,1호선,다대포해수욕장,051-678-6195,부산광역시 사하구 다대로 지하 692,images/trafficImg/subway.png
T96,1호선,다대포항역,051-678-6196,부산광역시 사하구 다대로 지하 548,images/trafficImg/subway.png
T97,1호선,낫개역,051-678-6197,부산광역시 사하구 다대로 지하 422,images/trafficImg/subway.png
T98,1호선,신장림역,051-678-6198,부산광역시 사하구 다대로 지하 310,images/trafficImg/subway.png
T99,1호선,장림역,051-618-6199,부산광역시 사하구 다대로 지하 230,images/trafficImg/subway.png
T100,1호선,동매역,051-618-6100,부산광역시 사하구 신산로 지하 168,images/trafficImg/subway.png
T101,1호선,신평역,051-678-6101,부산광역시 사하구 하신번영로 140,images/trafficImg/subway.png
T102,1호선,하단역,051-678-6102,부산광역시 사하구 낙동남로 지하 1415,images/trafficImg/subway.png
T103,1호선,당리역,051-678-6103,부산광역시 사하구 낙동대로 지하 405,images/trafficImg/subway.png
T104,1호선,사하역,051-678-6104,부산광역시 사하구 낙동대로 지하 309,images/trafficImg/subway.png
T105,1호선,괴정역,051-678-6105,부산광역시 사하구 낙동대로 지하 221,images/trafficImg/subway.png
T106,1호선,대티역,051-678-6106,부산광역시 사하구 낙동대로 지하 141,images/trafficImg/subway.png
T107,1호선,서대신역,051-678-6107,부산광역시 서구 대영로 지하 1,images/trafficImg/subway.png
T108,1호선,동대신역,051-678-6108,부산광역시 서구 구덕로 지하 290,images/trafficImg/subway.png
T109,1호선,토성역,051-678-6109,부산광역시 서구 구덕로 지하 170,images/trafficImg/subway.png
T110,1호선,자갈치역,051-678-6110,부산광역시 중구 구덕로 지하 80,images/trafficImg/subway.png
T111,1호선,남포역,051-678-6111,부산광역시 중구 구덕로 지하 12,images/trafficImg/subway.png
T112,1호선,중앙역,051-678-6112,부산광역시 중구 중앙대로 지하 83,images/trafficImg/subway.png
T113,1호선,부산역,051-678-6113,부산광역시 동구 중앙대로 지하 200,images/trafficImg/subway.png
T114,1호선,초량역,051-678-6114,부산광역시 동구 중앙대로 지하 264,images/trafficImg/subway.png
T115,1호선,부산진역,051-678-6115,부산광역시 동구 중앙대로 지하 350,images/trafficImg/subway.png
T116,1호선,좌천역,051-678-6116,부산광역시 동구 중앙대로 지하 446,images/trafficImg/subway.png
T117,1호선,범일역,051-678-6117,부산광역시 동구 범일로 지하 108,images/trafficImg/subway.png
T118,1호선,범내골역,051-678-6118,부산광역시 부산진구 중앙대로 지하 612,images/trafficImg/subway.png
T119,1호선,서면역(1호선),051-678-6119,부산광역시 부산진구 중앙대로 지하 730,images/trafficImg/subway.png
T120,1호선,부전역,051-678-6120,부산광역시 부산진구 중앙대로 지하 786,images/trafficImg/subway.png
T121,1호선,양정역,051-678-6121,부산광역시 부산진구 중앙대로 지하 930,images/trafficImg/subway.png
T122,1호선,시청역,051-678-6122,부산광역시 연제구 중앙대로 지하 1017,images/trafficImg/subway.png
T123,1호선,연산역,051-678-6123,부산광역시 연제구 중앙대로 지하 1101,images/trafficImg/subway.png
T124,1호선,교대역,051-678-6124,부산광역시 연제구 중앙대로 지하 1217,images/trafficImg/subway.png
T125,1호선,동래역,051-678-6125,부산광역시 동래구 중앙대로 1324,images/trafficImg/subway.png
T126,1호선,명륜역,051-678-6126,부산광역시 동래구 중앙대로 1414,images/trafficImg/subway.png
T127,1호선,온천장역,051-678-6127,부산광역시 동래구 중앙대로 1520,images/trafficImg/subway.png
T128,1호선,부산대역,051-678-6128,부산광역시 금정구 장전온천천로 48,images/trafficImg/subway.png
T129,1호선,장전역,051-678-6129,부산광역시 금정구 장전온천천로 144,images/trafficImg/subway.png
T130,1호선,구서역,051-678-6130,부산광역시 금정구 금정로 233번길 46,images/trafficImg/subway.png
T131,1호선,두실역,051-678-6131,부산광역시 금정구 중앙대로 지하 1927-1,images/trafficImg/subway.png
T132,1호선,남산역,051-678-6132,부산광역시 금정구 중앙대로 지하 2019-1,images/trafficImg/subway.png
T133,1호선,범어사역,051-678-6133,부산광역시 금정구 중앙대로 지하 2107,images/trafficImg/subway.png
T134,1호선,노포역,051-678-6134,부산광역시 금정구 중앙대로 2238,images/trafficImg/subway.png
T201,2호선,장산역,051-678-6201,부산광역시 해운대구 해운대로 지하 820,images/trafficImg/subway.png
