A_NAME,A_TYPE,A_LOCATION,a_pnumber,A_CHECKIN,A_CHECKOUT,A_PHOTO,S_SERIALNUM
토요코인호텔 부산역1호점,호텔,부산 동구 중앙대로196번길 12,051-466-1045,15:00,11:00,images/accommodationImg/hotel.jpg,A01
아스티호텔 부산,특급호텔,부산 동구 중앙대로214번길 7-8,051-409-8888,15:00,11:00,images/accommodationImg/fivestarhotel.jpg,A02
라마다앙코르 부산역호텔,호텔,부산 동구 중앙대로196번길 10,051-922-0000,14:00,11:00,images/accommodationImg/hotel.jpg,A03
아몬드호텔,호텔,부산 동구 중앙대로196번길 12-5,051-469-1918,15:00,11:00,images/accommodationImg/hotel.jpg,A04
코모도호텔 부산,특급호텔,부산 중구 중구로 151,051-466-9101,15:00,11:00,images/accommodationImg/fivestarhotel.jpg,A05
오름레지던스호텔,호텔,부산 동구 중앙대로180번길 16-8,051-936-1123,15:00,11:00,images/accommodationImg/hotel.jpg,A06
크라운하버호텔 부산,호텔,부산 중구 중앙대로 114,051-678-1000,15:00,11:00,images/accommodationImg/hotel.jpg,A07
하운드호텔 부산역,호텔,부산 동구 중앙대로236번길 9,051-464-2000,15:00,11:00,images/accommodationImg/hotel.jpg,A08
노떼라미아호텔,호텔,부산 동구 대영로 265,051-462-7700,15:00,11:00,images/accommodationImg/hotel.jpg,A09
더비에스호텔,"여관,모텔",부산 동구 중앙대로236번길 7-11,051-466-8400,15:00,12:00,images/accommodationImg/motel.jpg,A10
부산뷰호텔,호텔,부산 동구 중앙대로196번길 16-10,051-442-1248,15:00,12:00,images/accommodationImg/hotel.jpg,A11
탑모텔,"여관,모텔",부산 동구 중앙대로196번길 12-15,051-462-3755,15:00,12:00,images/accommodationImg/motel.jpg,A12
파밀리에게스트하우스,게스트하우스,부산 동구 중앙대로214번길 3-4,051-461-0080,15:00,12:00,images/accommodationImg/guesthouse.jpg,A13
토요코인 부산중앙역점,호텔,부산 중구 중앙대로 125,051-442-1045,15:00,12:00,images/accommodationImg/hotel.jpg,A14
부산비즈니스호텔,호텔,부산 부산진구 부전로 67,051-808-2000,14:00,12:00,images/accommodationImg/hotel.jpg,A15
이비스앰배서더호텔 부산시티센터점,특급호텔,부산 부산진구 중앙대로 777,051-930-1100,14:00,12:00,images/accommodationImg/fivestarhotel.jpg,A16
롯데호텔 부산,특급호텔,부산 부산진구 가야대로 772,051-810-1000,14:00,11:00,images/accommodationImg/fivestarhotel.jpg,A17
아르반호텔,호텔,부산 부산진구 중앙대로691번길 32,051-805-9901,14:00,11:00,images/accommodationImg/hotel.jpg,A18
토요코인호텔 부산서면,호텔,부산 부산진구 서전로 39,051-638-1045,15:00,11:00,images/accommodationImg/hotel.jpg,A19
