r_name,R_TYPE,R_LOCATION,r_pnumber,S_SERIALNUM,R_OPENTIME,R_CLOSETIME,r_photo
본전돼지국밥,국밥,부산 동구 중앙대로214번길 3-8,051-441-2946,R01,9:00,20:30,images/restaurantImg/gukbap.jpg
신발원,중식,부산 동구 대영로243번길 62,051-467-0177,R02,11:00,20:00,images/restaurantImg/mandu.jpg
원조부산밀면,국수,부산 동구 중앙대로231번길 7,051-466-6999,R03,10:30,19:00,images/restaurantImg/milmyeon.jpg
브라운핸즈 부산점,커피전문점,부산 동구 중앙대로209번길 16,051-464-0332,R04,10:00,22:00,images/restaurantImg/cafe.jpg
평산옥,"육류,고기",부산 동구 초량중로 26,051-468-6255,R05,10:00,20:00,images/restaurantImg/suyuk.jpg
신창국밥 부산역점,국밥,부산 동구 중앙대로214번길 3-4,051-465-7180,R06,7:00,23:00,images/restaurantImg/gukbap.jpg
마가만두,중국요리,부산 동구 대영로243번길 56,051-468-4059,R07,11:00,21:00,images/restaurantImg/mandu.jpg
홍성방 본점,중국요리,부산 동구 중앙대로179번길 16,051-468-9495,R08,11:00,21:30,images/restaurantImg/jajangmyeon.jpg
스완양분식 본점,"돈까스,우동",부산 동구 중앙대로236번길 7-5,051-634-2846,R09,11:30,20:00,images/restaurantImg/tonkatsu.jpg
은하갈비,갈비,부산 동구 초량중로 86,051-467-4303,R11,11:00,23:00,images/restaurantImg/galbi.jpg
육전밀면 부산역본점,국수,부산 동구 중앙대로221번가길 5,051-441-1122,R12,9:00,20:30,images/restaurantImg/milmyeon.jpg
장성향,중국요리,부산 동구 대영로243번길 29,051-467-4496,R13,11:30,21:30,images/restaurantImg/jajangmyeon.jpg
해운대암소갈비집,한식,부산 해운대구 중동2로10번길 32-10,051-746-0033,R14,11:30,22:00,images/restaurantImg/galbi.jpg
해운대가야밀면,냉면,부산 해운대구 좌동순환로 27,051-747-9404,R15,10:00,20:50,images/restaurantImg/milmyeon.jpg
그랜드애플,뷔페,부산 해운대구 센텀1로 25,051-743-3331,R18,12:00,21:00,images/restaurantImg/buffet.jpg
옵스 해운대점,"제과,베이커리",부산 해운대구 중동1로 31,051-747-6886,R19,8:00,22:00,images/restaurantImg/cafe.jpg
상국이네,분식,부산 해운대구 구남로41번길 40-1,051-742-9001,R21,10:00,2:00,images/restaurantImg/bunsik.jpg
해성막창집 본점,"곱창,막창",부산 해운대구 중동1로19번길 29,051-731-3113,R22,16:30,3:00,images/restaurantImg/gogi.jpg
어밤부,태국음식,부산 해운대구 송정광어골로 87,051-702-8183,R23,11:00,21:00,images/restaurantImg/ssalguksu.jpg
나가하마만게츠,일본식라면,부산 해운대구 우동1로 57,051-731-0886,R24,11:00,20:00,images/restaurantImg/ramen.jpg
타이가텐푸라,일본식,부산 해운대구 우동1로38번가길 15,051-731-1914,R27,11:00,20:00,images/restaurantImg/tendong.jpg
버거샵 해운대점,햄버거,부산 해운대구 우동1로20번길 19,051-747-4961,R28,11:00,20:30,images/restaurantImg/hambuger.jpg
빨간떡볶이,떡볶이,부산 해운대구 우동1로20번가길 4,051-743-2814,R29,8:30,18:30,images/restaurantImg/bunsik.jpg
의령식당,한식,부산 해운대구 우동1로50번길 15,051-746-9661,R30,8:30,21:00,images/restaurantImg/hanjeongsik.jpg
고반식당 부산해운대점,"육류,고기",부산 해운대구 구남로12번길 16,051-731-3353,R32,16:00,2:00,images/restaurantImg/gogi.jpg
코지하우스,양식,부산 해운대구 우동1로 37,051-731-6683,R33,11:30,22:30,images/restaurantImg/pizza.jpg
사카나식당,"초밥,롤",부산 해운대구 우동1로 34,051-747-1342,R34,11:30,21:00,images/restaurantImg/susi.jpg
서면밀면,국수,부산 부산진구 서전로 25,051-817-2812,R35,10:00,21:30,images/restaurantImg/milmyeon.jpg
1984나폴리,이탈리안,부산 부산진구 전포대로209번길 17-6,051-816-1984,R39,12:00,22:00,images/restaurantImg/pizza.jpg
서초갈비,갈비,부산 부산진구 동성로 151,051-817-3391,R41,16:00,23:00,images/restaurantImg/galbi.jpg
FM커피하우스 1호점,커피전문점,부산 부산진구 전포대로199번길 26,051-803-0926,R42,11:00,22:00,images/restaurantImg/cafe.jpg
프랭클린 커피로스터스,커피전문점,부산 부산진구 동성로 29,051-756-0002,R43,10:00,18:00,images/restaurantImg/cafe.jpg
베르크로스터스,커피전문점,부산 부산진구 서전로58번길 115,051-817-2111,R44,10:00,18:30,images/restaurantImg/cafe.jpg
이너프,카페,부산 부산진구 서전로37번길 26,051-803-8748,R45,12:00,21:00,images/restaurantImg/cafe.jpg
스노잉클라우드,커피전문점,부산 해운대구 달맞이길117번가길 120-30,051-747-8253,R46,11:00,22:00,images/restaurantImg/cafe.jpg
비비비당,전통찻집,부산 해운대구 달맞이길 239-16,051-746-0705,R47,10:30,22:00,images/restaurantImg/cafe.jpg
블랙업커피 해운대점,커피전문점,부산 해운대구 중동2로 16,051-809-4952,R48,8:00,20:00,images/restaurantImg/cafe.jpg
벨라비,카페,부산 해운대구 송정광어골로 25,051-704-9588,R49,10:30,23:00,images/restaurantImg/cafe.jpg
브론즈웨인커피,카페,부산 해운대구 해운대해변로 332,051-747-9180,R50,11:00,21:00,images/restaurantImg/cafe.jpg
카페루프탑,카페,부산 해운대구 청사포로 139-4,051-702-3007,R51,11:00,22:00,images/restaurantImg/cafe.jpg
