s_NAME,S_SERIALNUM
토요코인호텔 부산역1호점,A01
아스티호텔 부산,A02
라마다앙코르 부산역호텔,A03
아몬드호텔,A04
코모도호텔 부산,A05
오름레지던스호텔,A06
크라운하버호텔 부산,A07
하운드호텔 부산역,A08
노떼라미아호텔,A09
더비에스호텔,A10
부산뷰호텔,A11
탑모텔,A12
파밀리에게스트하우스,A13
토요코인 부산중앙역점,A14
부산비즈니스호텔,A15
이비스앰배서더호텔 부산시티센터점,A16
롯데호텔 부산,A17
아르반호텔,A18
토요코인호텔 부산서면,A19
솔라리아니시테츠호텔 부산점,A20
티티호텔,A21
경성여관,A22
엔젤호텔,A23
라이온호텔,A24
TRT호텔,A25
한화리조트 해운대,A26
신라스테이 해운대,A27
베니키아호텔 해운대,A28
베니키아해운대호텔마리안느,A29
파크하얏트 부산,A30
베스트웨스턴 해운대호텔,A31
파라다이스호텔 부산,A32
해운대센텀호텔,A34
라마다앙코르해운대호텔,A35
센텀프리미어호텔,A36
코오롱씨클라우드호텔,A37
팔레드시즈,A38
웨스틴조선 부산,A39
이비스앰배서더 부산해운대,A40
해운대 그린나래호텔,A41
