tf_name,tf_type,tf_LOCATION,tf_pnumber,tf_PHOTO,S_SERIALNUM,
서면역,부산1호선,부산 부산진구 중앙대로 지하 730,051-802-1410,images/trafficImg/subway.png,T04,
동래역,부산1호선,부산 동래구 중앙대로 1324,051-556-6042,images/trafficImg/subway.png,T05,
하단역,부산1호선,부산 사하구 낙동남로 지하 1415,051-208-8165,images/trafficImg/subway.png,T07,
센텀시티역,부산2호선,부산 해운대구 센텀남대로 지하 76,051-731-5505,images/trafficImg/subway.png,T11,
수영역,부산2호선,부산 수영구 수영로 지하 677,051-753-2806,images/trafficImg/subway.png,T12,안됨
남포역,부산1호선,부산 중구 구덕로 12-1,051-637-5480,images/trafficImg/subway.png,T17,안됨
덕천역,부산2호선,부산 북구 금곡대로 지하 14,051-333-2322,images/trafficImg/subway.png,T18,
일광역,동해선,부산 기장군 일광읍 일광로 111-10,051-333-2322,images/trafficImg/subway.png,T19,안됨
대연역,부산2호선,부산 남구 수영로 지하 242,051-626-6417,images/trafficImg/subway.png,T21,
교대역,부산1호선,부산 연제구 중앙대로 1217,051-506-1661,images/trafficImg/subway.png,T23,
양정역,부산1호선,부산 부산진구 중앙대로 920,051-983-1001,images/trafficImg/subway.png,T25,
부산역,부산1호선,부산 동구 중앙대로 197,051-467-1009,images/trafficImg/subway.png,T26,
명륜역,부산1호선,부산 동래구 중앙대로 1414,051-554-8701,images/trafficImg/subway.png,T28,
미남역,부산4호선,부산 동래구 아시아드대로246번길 3,051-503-3092,images/trafficImg/subway.png,T31,
전포역,부산2호선,부산 부산진구 전포대로 지하 181,051-802-4742,images/trafficImg/subway.png,T32,
신평역,부산1호선,부산 사하구 하신번영로 140,051-206-7522,images/trafficImg/subway.png,T33,
부산역,기차,부산광역시 동구 중앙대로 206,051-464-9898,images/trafficImg/busan.jpg,T02,
구포역,기차,부산 북구 구포만세길 82,051-440-2496,images/trafficImg/gupo.jpg,T03,
김해국제공항,공항,부산 강서구 공항진입로 108,051-974-3114,images/trafficImg/GimhaeInternationalAirport.jpg,T01,
